train_upto_idx,test_idx,date_test,ndcg_numbers,ndcg_stars,recall_numbers,recall_stars,hits_numbers,hits_stars
300,301,2009-11-20,0.13120507751234178,0.6131471927654584,0.2,0.5,1,1
382,383,2011-05-27,0.0,0.0,0.0,0.0,0,0
464,465,2012-03-09,0.3391602052736161,0.0,0.2,0.0,1,0
547,548,2012-12-25,0.21398626473452756,0.0,0.2,0.0,1,0
629,630,2013-10-08,0.0,0.0,0.0,0.0,0,0
712,713,2014-07-25,0.3391602052736161,0.38685280723454163,0.2,0.5,1,1
794,795,2015-05-08,0.3391602052736161,0.0,0.2,0.0,1,0
876,877,2016-02-19,0.0,0.0,0.0,0.0,0,0
959,960,2016-12-06,0.0,0.0,0.0,0.0,0,0
1041,1042,2017-09-19,0.0,0.6131471927654584,0.0,0.5,0,1
1124,1125,2018-07-06,0.0,0.38685280723454163,0.0,0.5,0,1
1206,1207,2019-04-19,0.16958010263680806,0.0,0.2,0.0,1,0
1289,1290,2020-02-04,0.0,0.0,0.0,0.0,0,0
1371,1372,2020-11-17,0.21398626473452756,0.0,0.2,0.0,1,0
1453,1454,2021-08-31,0.21398626473452756,0.0,0.2,0.0,1,0
1536,1537,2022-06-17,0.14606834984270645,0.0,0.2,0.0,1,0
1618,1619,2023-03-31,0.21398626473452756,0.38685280723454163,0.2,0.5,1,1
1701,1702,2024-01-16,0.0,0.0,0.0,0.0,0,0
1783,1784,2024-10-29,0.0,0.6131471927654584,0.0,0.5,0,1
1866,1867,2025-08-15,0.0,0.0,0.0,0.0,0,0
